Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 0.0003}
====================================================================================================
step 3100 | loss 7.5935 | norm 185483.4688 | time 1899.1187ms
step 3110 | loss 7.3647 | norm 5553801.0000 | time 1897.9235ms
step 3120 | loss 6.9330 | norm 2499720.5000 | time 1897.7790ms
step 3130 | loss 7.2664 | norm 1557.6954 | time 1900.3720ms
step 3140 | loss 6.8998 | norm 2467.1174 | time 1896.4121ms
step 3150 | loss 6.6232 | norm 526.3372 | time 1899.4198ms
step 3160 | loss 7.2102 | norm 304752.1250 | time 1897.7413ms
step 3170 | loss 7.1590 | norm 4370526.0000 | time 1897.3482ms
step 3180 | loss 7.0642 | norm 419.3648 | time 1900.2874ms
step 3190 | loss 7.1251 | norm 199364.7969 | time 1898.2038ms
step 3200 | loss 6.8714 | norm 4524.6514 | time 1902.6980ms
step 3210 | loss 6.8918 | norm 197596.7344 | time 1897.1460ms
step 3220 | loss 7.0363 | norm 35751.8633 | time 1898.3259ms
step 3230 | loss 7.0282 | norm 881485056.0000 | time 1897.3145ms
step 3240 | loss 6.9013 | norm 1382.9709 | time 1897.6052ms
step 3250 | loss 6.6923 | norm 23.2961 | time 1898.0742ms
step 3260 | loss 7.0044 | norm 174.5347 | time 1896.4763ms
step 3270 | loss 6.6969 | norm 312.5889 | time 1899.7858ms
step 3280 | loss 7.0577 | norm 233.0974 | time 1897.9487ms
step 3290 | loss 6.8625 | norm 2694.2969 | time 1897.9714ms
step 3300 | loss 6.9919 | norm 69.4731 | time 1899.4713ms
step 3310 | loss 7.2203 | norm 122.0721 | time 1897.7783ms
step 3320 | loss 7.0136 | norm 3763.4836 | time 1898.4823ms
step 3330 | loss 6.7460 | norm 103.2234 | time 1898.8526ms
step 3340 | loss 6.2728 | norm 11.2916 | time 1900.4805ms
step 3350 | loss 6.7649 | norm 59.2268 | time 1899.2186ms
step 3360 | loss 7.0478 | norm 4198.0278 | time 1899.1542ms
step 3370 | loss 6.8902 | norm 10823.9766 | time 1901.2170ms
step 3380 | loss 6.7635 | norm 412.9233 | time 1900.3639ms
step 3390 | loss 7.1537 | norm 204.2418 | time 1903.1124ms
step 3400 | loss 6.5237 | norm 8018.3525 | time 1899.6911ms
step 3410 | loss 6.5680 | norm 496323.0312 | time 1896.6689ms
step 3420 | loss 6.8585 | norm 12.9838 | time 1898.4697ms
step 3430 | loss 6.8081 | norm 106.9071 | time 1898.5453ms
step 3440 | loss 6.9848 | norm 39.1569 | time 1898.8361ms
